12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
7337  ,14.0937  ,20.8789  ,32.4713  ,2.61699e+01
6278  ,9.13496  ,20.8671  ,31.3354  ,2.61699e+01
7346  ,12.6767  ,20.9188  ,31.3236  ,2.61697e+01
7466  ,10.638  ,20.8018  ,37.7469  ,2.61694e+01
7491  ,11.6366  ,20.8431  ,30.2097  ,2.61688e+01
6137  ,8.02329  ,20.7053  ,36.7596  ,2.61688e+01
7110  ,17.5589  ,19.8572  ,29.511  ,2.61686e+01
7080  ,17.5589  ,19.8572  ,38.3531  ,2.61686e+01
6042  ,4.9589  ,19.8572  ,29.511  ,2.61685e+01
6011  ,4.9589  ,19.8572  ,38.3531  ,2.61684e+01
686  ,13.3589  ,19.8572  ,26.1952  ,2.61684e+01
693  ,13.3589  ,19.8572  ,41.6689  ,2.61684e+01
7242  ,15.4589  ,19.8572  ,27.3005  ,2.61684e+01
848  ,9.1589  ,19.8572  ,26.1952  ,2.61684e+01
855  ,9.1589  ,19.8572  ,41.6689  ,2.61683e+01
7199  ,15.4589  ,19.8572  ,40.5636  ,2.61683e+01
6179  ,7.0589  ,19.8572  ,27.3005  ,2.61682e+01
6134  ,7.0589  ,19.8572  ,40.5636  ,2.61682e+01
7332  ,14.0834  ,20.8791  ,35.7935  ,2.61681e+01
7322  ,12.8125  ,20.6566  ,38.3593  ,2.61680e+01
6139  ,7.44164  ,20.4739  ,37.9566  ,2.61677e+01
6150  ,8.08496  ,20.8671  ,32.4406  ,2.61674e+01
6262  ,9.588  ,20.8018  ,37.7469  ,2.61668e+01
7099  ,18.6089  ,19.8572  ,31.7215  ,2.61665e+01
7084  ,18.6089  ,19.8572  ,36.1426  ,2.61665e+01
6010  ,3.9089  ,19.8572  ,36.1426  ,2.61664e+01
6026  ,3.9089  ,19.8572  ,31.7215  ,2.61663e+01
7345  ,12.6866  ,20.8431  ,30.2097  ,2.61662e+01
7208  ,15.0453  ,20.8518  ,34.665  ,2.61661e+01
7216  ,15.0453  ,20.8518  ,33.5597  ,2.61661e+01
6256  ,8.49164  ,20.4739  ,39.0618  ,2.61651e+01
7344  ,14.0937  ,20.8789  ,31.3661  ,2.61647e+01
7215  ,15.9088  ,20.6775  ,32.4689  ,2.61645e+01
6260  ,8.5803  ,20.7801  ,37.5698  ,2.61641e+01
6159  ,8.00663  ,20.6609  ,30.0129  ,2.61630e+01
7500  ,10.1066  ,20.6609  ,28.9076  ,2.61629e+01
7325  ,14.0834  ,20.8791  ,36.8988  ,2.61629e+01
7214  ,15.1437  ,20.8789  ,32.4713  ,2.61622e+01
6158  ,8.08496  ,20.8671  ,31.3354  ,2.61621e+01
7100  ,18.6089  ,19.8572  ,30.6162  ,2.61612e+01
7079  ,18.6089  ,19.8572  ,37.2478  ,2.61612e+01
6033  ,3.9089  ,19.8572  ,30.6163  ,2.61611e+01
6009  ,3.9089  ,19.8572  ,37.2478  ,2.61611e+01
7363  ,14.4089  ,19.8572  ,26.1952  ,2.61606e+01
7314  ,14.4089  ,19.8572  ,41.6689  ,2.61606e+01
6293  ,8.1089  ,19.8572  ,26.1952  ,2.61605e+01
6250  ,8.1089  ,19.8572  ,41.6689  ,2.61605e+01
7210  ,15.1334  ,20.8791  ,35.7935  ,2.61604e+01
6284  ,9.05663  ,20.6609  ,28.9076  ,2.61603e+01
7454  ,11.7624  ,20.6566  ,39.4645  ,2.61602e+01
6153  ,6.73508  ,20.841  ,33.526  ,2.61595e+01
6145  ,6.73508  ,20.841  ,34.6312  ,2.61594e+01
7223  ,15.9088  ,20.6775  ,31.3637  ,2.61593e+01
7457  ,10.638  ,20.8018  ,38.8522  ,2.61590e+01
7502  ,11.6366  ,20.8431  ,29.1044  ,2.61584e+01
6152  ,6.73212  ,20.8097  ,32.2285  ,2.61582e+01
723  ,17.5589  ,19.8572  ,28.4057  ,2.61581e+01
728  ,17.5589  ,19.8572  ,39.4584  ,2.61581e+01
885  ,4.9589  ,19.8572  ,28.4057  ,2.61580e+01
890  ,4.9589  ,19.8572  ,39.4584  ,2.61579e+01
7316  ,12.8125  ,20.6566  ,39.4645  ,2.61576e+01
6131  ,7.44164  ,20.4739  ,39.0618  ,2.61573e+01
7222  ,15.1437  ,20.8789  ,31.3661  ,2.61570e+01
6255  ,9.588  ,20.8018  ,38.8522  ,2.61564e+01
6136  ,7.5303  ,20.7801  ,37.5698  ,2.61563e+01
7324  ,14.0404  ,20.8456  ,37.9873  ,2.61562e+01
7352  ,12.6866  ,20.8431  ,29.1044  ,2.61558e+01
7343  ,14.1032  ,20.9212  ,30.2526  ,2.61555e+01
7240  ,16.5089  ,19.8572  ,27.3005  ,2.61555e+01
7217  ,16.0515  ,20.8595  ,33.513  ,2.61555e+01
7209  ,16.0515  ,20.8595  ,34.6183  ,2.61555e+01
7197  ,16.5089  ,19.8572  ,40.5636  ,2.61554e+01
6125  ,6.0089  ,19.8572  ,40.5636  ,2.61553e+01
6172  ,6.0089  ,19.8572  ,27.3005  ,2.61553e+01
7203  ,15.1334  ,20.8791  ,36.8988  ,2.61551e+01
6144  ,6.7089  ,20.8572  ,35.7742  ,2.61548e+01
743  ,19.6589  ,19.8572  ,32.8268  ,2.61540e+01
744  ,19.6589  ,19.8572  ,35.0373  ,2.61540e+01
6976  ,19.6589  ,19.8572  ,33.932  ,2.61540e+01
906  ,2.8589  ,19.8572  ,35.0373  ,2.61538e+01
905  ,2.8589  ,19.8572  ,32.8268  ,2.61538e+01
5904  ,2.8589  ,19.8572  ,33.932  ,2.61538e+01
7526  ,11.2589  ,19.8572  ,25.0899  ,2.61534e+01
